box_id,group,parasite,treatment,soil_id,haustoria,solidago_above,agalinis_above,solidago_below,agalinis_below,solidago_total,agalinis_total,solidago_final_height,agalinis_final_height
1,1,yes,sterilized,1,yes,5.616,0.005,4.569,0.001,10.185,0.006,43,3.5
2,2,yes,innoculated,1,yes,4.715,0.014,4.165,0.001,8.88,0.015,38,7.5
3,3,no,sterilized,1,,4.601,,5.2,,9.801,,47.4,
4,4,no,innoculated,1,,4.771,,2.8112,,7.5822,,38,
5,1,yes,sterilized,2,yes,4.876,0.042,6.154,0.004,11.03,0.046,51,12.5
6,2,yes,innoculated,2,yes,3.897,0.02,4.215,0.001,8.112,0.021,40.6,10.5
7,3,no,sterilized,2,,2.484,,1.918,,4.402,,22.2,
8,4,no,innoculated,2,,0.529,,0.182,,0.711,,12.3,
9,1,yes,sterilized,3,yes,7.27,0.029,6.487,0.001,13.757,0.03,63,5.5
10,2,yes,innoculated,3,yes,4.029,0.018,4.111,0.001,8.14,0.019,40.4,6.3
11,3,no,sterilized,3,,,,,,,,,
12,4,no,innoculated,3,,4.301,,3.426,,7.727,,45.5,
13,1,yes,sterilized,4,yes,5.413,0.035,4.765,0.001,10.178,0.036,53.5,11.3
14,2,yes,innoculated,4,yes,2.497,0.024,2.935,0.001,5.432,0.025,27,10.5
15,3,no,sterilized,4,,,,,,,,,
16,4,no,innoculated,4,,3.537,,3.074,,6.611,,41,
17,1,yes,sterilized,5,no,2.14,0.01,3.389,0.001,5.529,0.011,19,7.5
18,2,yes,innoculated,5,yes,3.592,0.012,3.316,0.004,6.908,0.016,41,9.5
19,3,no,sterilized,5,,6.512,,5.558,,12.07,,49.4,
20,4,no,innoculated,5,,1.814,,3.186,,5,,24,
21,1,yes,sterilized,6,yes,5.225,0.023,5.433,0.001,10.658,0.024,43.5,11
22,2,yes,innoculated,6,yes,4.562,0.023,5.017,0.001,9.579,0.024,43,11.3
23,3,no,sterilized,6,,,,6.83,,6.83,,48.7,
24,4,no,innoculated,6,,4.807,,5.178,,9.985,,49,
25,1,yes,sterilized,7,no,6.084,,5.1518,0.001,11.2358,0.001,45,2.2
26,2,yes,innoculated,7,no,3.602,,3.023,,6.625,,44,
27,3,no,sterilized,7,,4.642,,4.078,,8.72,,47.4,
28,4,no,innoculated,7,,6.785,,5.608,,12.393,,56.2,
29,1,yes,sterilized,8,yes,5.6,0.011,5.013,0.001,10.613,0.012,43,7.6
30,2,yes,innoculated,8,yes,4.302,0.139,3.99,0.002,8.292,0.141,43,20.5
31,3,no,sterilized,8,,4.031,,1.92,,5.951,,38.7,
32,4,no,innoculated,8,,3.472,,2.644,,6.116,,48,
33,1,yes,sterilized,9,yes,1.827,0.032,1.591,0.001,3.418,0.033,21,9.7
34,2,yes,innoculated,9,no,2.506,0.0039,2.527,0.001,5.033,0.0049,32,3
35,3,no,sterilized,9,,3.995,,2.962,,6.957,,38.4,
36,4,no,innoculated,9,,4.204,,3.284,,7.488,,47.8,
37,1,yes,sterilized,10,no,4.672,0.009,4.023,0.001,8.695,0.01,40.5,7
38,2,yes,innoculated,10,yes,2.731,0.169,1.402,0.004,4.133,0.173,27,20.5
39,3,no,sterilized,10,,6.114,,5.302,,11.416,,51.1,
40,4,no,innoculated,10,,3.958,,3.924,,7.882,,42.4,
41,1,yes,sterilized,11,yes,5.031,0.003,4.877,0.001,9.908,0.004,37.8,3
42,2,yes,innoculated,11,no,5.274,,4.427,0.001,9.701,0.001,47.6,0.5
43,3,no,sterilized,11,,4.876,,5.174,,10.05,,53.3,
44,4,no,innoculated,11,,1.373,,2.878,,4.251,,19.6,