site,field_plot,pair,plot,block,litter,removal,total,total_no_cas,castilleja,gram_final,forb_final,leg_final,shrub_final,gram,gram_bag,forb,forb_bag,leg,leg_bag,shrub,shrub_bag,case_prop,gram_prop,forb_prop,leg_prop,shrub_prop
Emerald Lake ,1A,1,1,1,Mixed,R,212.57,212.57,0,70.02,129.8,12.75,0,93.71,23.69,153.4,23.6,12.75,0,0,0,0.000,0.329,0.611,0.060,0.000
Emerald Lake ,1B,1,2,1,Mixed,C,284.1,279.32,4.78,25.73,150.73,4.99,97.87,49.28,23.55,174.34,23.61,28.58,23.59,121.47,23.6,0.017,0.091,0.531,0.018,0.344
Emerald Lake ,2A,2,3,2,Castilleja,C,161.19,161.19,0,40.01,112.11,9.07,0,63.6,23.59,135.8,23.69,32.69,23.62,0,0,0.000,0.248,0.696,0.056,0.000
Emerald Lake ,2B,2,4,2,Castilleja,R,185.32,185.32,0,68.86,116.46,0,0,93.12,24.26,139.75,23.29,0,0,0,0,0.000,0.372,0.628,0.000,0.000
Emerald Lake ,3A,3,5,2,Community,R,262.17,262.17,0,47.86,177.56,13.26,23.49,71.28,23.42,200.86,23.3,28.59,15.33,38.78,15.29,0.000,0.183,0.677,0.051,0.090
Emerald Lake ,3B,3,6,2,Community,C,415.83,406.38,9.45,40.91,143.64,2.38,219.45,64.2,23.29,166.91,23.27,17.69,15.31,242.71,23.26,0.023,0.098,0.345,0.006,0.528
Emerald Lake ,4A,4,7,2,Mixed,R,169.78,169.78,0,39.41,130.37,0,0,62.97,23.56,153.71,23.34,0,0,0,0,0.000,0.232,0.768,0.000,0.000
Emerald Lake ,4B,4,8,2,Mixed,C,354.43,341.47,12.96,40.95,83.96,0,216.56,64.65,23.7,107.5,23.54,0,0,240.17,23.61,0.037,0.116,0.237,0.000,0.611
Emerald Lake ,5A,5,9,3,Mixed,C,192.99,190.94,2.05,73.46,107.22,10.26,0,107.18,33.72,140.87,33.65,44.18,33.92,0,0,0.011,0.381,0.556,0.053,0.000
Emerald Lake ,5B,5,10,3,Mixed,R,92.52,92.52,0,68.98,23.54,0,0,92.23,23.25,46.85,23.31,0,0,0,0,0.000,0.746,0.254,0.000,0.000
Emerald Lake ,6A,6,11,3,Community,R,187.01,187.01,0,56.55,75.33,0,55.13,80.1,23.55,98.89,23.56,0,0,78.75,23.62,0.000,0.302,0.403,0.000,0.295
Emerald Lake ,6B,6,12,3,Community,C,197.16,181.14,16.02,26.64,104.68,0.48,49.34,50.24,23.6,128.24,23.56,24.08,23.6,72.96,23.62,0.081,0.135,0.531,0.002,0.250
Emerald Lake ,7A,7,13,4,Castilleja,C,89.34,87.59,1.75,26.65,56.95,3.99,0,50.07,23.42,80.36,23.41,27.45,23.46,0,0,0.020,0.298,0.637,0.045,0.000
Emerald Lake ,7B,7,14,4,Castilleja,R,78.14,78.14,0,14.17,63.97,0,0,37.7,23.53,87.44,23.47,0,0,0,0,0.000,0.181,0.819,0.000,0.000
Emerald Lake ,8A,8,15,4,Control,C,118.45,115.77,2.68,32.95,67.6,15.22,0,56.08,23.13,90.72,23.12,38.08,22.86,0,0,0.023,0.278,0.571,0.128,0.000
Emerald Lake ,8B,8,16,4,Control,R,129.21,129.21,0,36.39,92.82,0,0,59.59,23.2,116.12,23.3,0,0,0,0,0.000,0.282,0.718,0.000,0.000
Emerald Lake ,9A,9,17,5,Mixed,C,104.03,78.82,25.21,23.67,54.24,0.91,0,46.82,23.15,77.42,23.18,23.87,22.96,0,0,0.242,0.228,0.521,0.009,0.000
Emerald Lake ,9B,9,18,5,Mixed,R,91.46,91.46,0,17.02,72.6,1.84,0,40.52,23.5,96,23.4,25.34,23.5,0,0,0.000,0.186,0.794,0.020,0.000
Emerald Lake ,10A,10,19,5,Control,C,134.03,133.05,0.98,12.57,93.66,26.82,0,35.94,23.37,117.01,23.35,50.24,23.42,0,0,0.007,0.094,0.699,0.200,0.000
Emerald Lake ,10B,10,20,5,Control,R,175.53,175.53,0,59.72,112.13,3.68,0,82.97,23.25,135.41,23.28,26.9,23.22,0,0,0.000,0.340,0.639,0.021,0.000
Emerald Lake ,11A,11,21,3,Castilleja,C,169.18,153.91,15.27,47.79,106.12,0,0,71.16,23.37,129.56,23.44,0,0,0,0,0.090,0.282,0.627,0.000,0.000
Emerald Lake ,11B,11,22,3,Castilleja,R,181.94,181.94,0,25.82,137.59,0,18.53,49.29,23.47,160.72,23.13,0,0,42.11,23.58,0.000,0.142,0.756,0.000,0.102
Emerald Lake ,12A,12,23,3,Control,C,143.2,140.48,2.72,50.81,79.52,8.09,2.06,74.26,23.45,103.1,23.58,31.45,23.36,25.67,23.61,0.019,0.355,0.555,0.056,0.014
Emerald Lake ,12B,12,24,3,Control,R,236.88,236.88,0,85.79,151.09,0,0,109.14,23.35,174.52,23.43,0,0,0,0,0.000,0.362,0.638,0.000,0.000
Emerald Lake ,13A,13,25,1,Control,R,142.31,142.31,0,35.29,92.91,14.11,0,58.85,23.56,116.49,23.58,29.44,15.33,0,0,0.000,0.248,0.653,0.099,0.000
Emerald Lake ,13B,13,26,1,Control,C,256.08,237.39,18.69,45.14,156.86,12.23,23.16,68.41,23.27,180.16,23.3,35.6,23.37,46.4,23.24,0.073,0.176,0.613,0.048,0.090
Emerald Lake ,14A,14,27,1,Community,C,183.16,183.16,,22.93,32.99,0,127.24,46.49,23.56,56.52,23.53,0,0,150.87,23.63,0.000,0.125,0.180,0.000,0.695
Emerald Lake ,14B,14,28,1,Community,R,401.95,401.95,0,57.16,75.05,0,269.74,80.8,23.64,98.78,23.73,0,0,293.31,23.57,0.000,0.142,0.187,0.000,0.671
Emerald Lake ,15A,15,29,1,Castilleja,C,102.86,97.48,5.38,54.7,34.53,8.25,0,78.34,23.64,58.16,23.63,31.82,23.57,0,0,0.052,0.532,0.336,0.080,0.000
Emerald Lake ,15B,15,30,1,Castilleja,R,82.83,82.83,0,45.48,26.09,11.26,0,69.09,23.61,49.81,23.72,35,23.74,0,0,0.000,0.549,0.315,0.136,0.000
Emerald Lake ,16A,16,31,2,Control,C,148.4,143.35,5.05,70.4,41.82,31.13,0,93.71,23.31,65.05,23.23,54.35,23.22,0,0,0.034,0.474,0.282,0.210,0.000
Emerald Lake ,16B,16,32,2,Control,R,88.42,88.42,0,32,30.88,25.54,0,55.44,23.44,64.92,34.04,40.97,15.43,0,0,0.000,0.362,0.349,0.289,0.000
Emerald Lake ,17A,17,33,4,Community,R,48.09,48.09,0,17.15,29.03,1.91,0,32.45,15.3,44.46,15.43,17.23,15.32,0,0,0.000,0.357,0.604,0.040,0.000
Emerald Lake ,17B,17,34,4,Community,C,194.33,191.55,2.78,43.84,143.65,4.06,0,66.83,22.99,166.74,23.09,26.51,22.45,0,0,0.014,0.226,0.739,0.021,0.000
Emerald Lake ,18A,18,35,5,Community,C,272.29,268.82,3.47,50.25,216.8,1.77,0,73.72,23.47,240.11,23.31,25.19,23.42,0,0,0.013,0.185,0.796,0.007,0.000
Emerald Lake ,18B,18,36,5,Community,R,247.1,247.1,0,220,27.1,0,0,254.04,34.04,61.28,34.18,0,0,0,0,0.000,0.890,0.110,0.000,0.000
Emerald Lake ,19A,19,37,5,Castilleja,C,258.42,255.73,2.69,50.22,205.51,0,0,73.31,23.09,229.38,23.87,0,0,0,0,0.010,0.194,0.795,0.000,0.000
Emerald Lake ,19B,19,38,5,Castilleja,R,254.44,254.44,0,39.72,203.18,11.54,0,63.28,23.56,226.9,23.72,35.2,23.66,0,0,0.000,0.156,0.799,0.045,0.000
Emerald Lake ,20A,20,39,4,Mixed,C,204.63,191.23,13.4,67.41,83.19,40.63,0,90.66,23.25,106.41,23.22,63.75,23.12,0,0,0.065,0.329,0.407,0.199,0.000
Emerald Lake ,20B,20,40,4,Mixed,R,67.97,67.97,0,7.5,49.09,11.38,0,22.54,15.04,72.48,23.39,25.74,14.36,0,0,0.000,0.110,0.722,0.167,0.000