Castilleja species,Site,Castilleja,Indicator species,Indicator Value,P-value
C. septentrionalis,Emerald Lake,Present,Fragaria virginiana,0.228,0.0419
,,Present,Erigeron coulteri,0.210,0.0553
,Copper Creek,Present,Thalictrum fendleri,0.298,0.0635
,,Present,Campanula petiolata,0.276,0.0849
,,Absent,Cymopterus lemmonii,0.270,0.0893
C. linariifolia,Deer Creek 1,Present,Delphinium nuttallianum,0.263,0.005
,,Present,Heterotheca sp.,0.185,0.0836
,,Absent,Ipomopsis aggregatta,0.220,0.0551
,,Absent,Elymus elymoides,0.206,0.0864
,Deer Creek 2,Present,Koeleria macrantha,0.228,0.0437
,,Absent,Gayophytum sp,0.241,0.0512
,,Absent,Erigeron speciosus,0.207,0.0661