"","Site","Plot","Treatment","div.cov","even.cov","rich"
"1","Deer Creek 1",1,"Castilleja",0.594390887232554,0.285841595119999,8
"2","Deer Creek 1",2,"Control",0.266625923892363,0.165664000973557,5
"3","Deer Creek 1",3,"Castilleja",1.32224666119805,0.601780389149415,9
"4","Deer Creek 1",4,"Control",1.2935168675188,0.721925509385523,6
"5","Deer Creek 1",5,"Castilleja",1.60354185073874,0.696409377276762,10
"6","Deer Creek 1",6,"Control",0.599783319860987,0.334745444442602,6
"7","Deer Creek 1",7,"Castilleja",1.00582713302245,0.624955535874787,5
"8","Deer Creek 1",8,"Control",1.2130075659799,0.676992412660448,6
"9","Deer Creek 1",9,"Castilleja",1.19006842754827,0.664189835737822,6
"10","Deer Creek 1",10,"Control",1.11105230104857,0.801454822445519,4
"11","Deer Creek 1",11,"Castilleja",1.49452406598697,0.718714152829536,8
"12","Deer Creek 1",12,"Control",0.927343478685276,0.576190899643199,5
"13","Deer Creek 1",13,"Castilleja",1.14090546159635,0.63675146200728,6
"14","Deer Creek 1",14,"Control",1.18741576984366,0.662709359284275,6
"15","Deer Creek 1",15,"Castilleja",1.2885548462598,0.719156152591704,6
"16","Deer Creek 1",16,"Control",1.4466095841693,0.898829071313137,5
"17","Deer Creek 1",17,"Castilleja",2.05202991464469,0.891185268630588,10
"18","Deer Creek 1",18,"Control",1.44261845534117,0.656563953553676,9
"19","Deer Creek 1",19,"Castilleja",1.69740225675569,0.737172433679121,10
"20","Deer Creek 1",20,"Control",1.62952136581563,0.741627133895964,9
"21","Deer Creek 1",21,"Castilleja",1.4261337413499,0.886106714854898,5
"22","Deer Creek 1",22,"Control",1.55575119220792,0.748158176618485,8
"23","Deer Creek 1",23,"Castilleja",1.79841003286902,0.781039553474461,10
"24","Deer Creek 1",24,"Control",1.5808185358593,0.812380025165471,7
"25","Deer Creek 1",25,"Castilleja",1.50577260267792,0.724123555529969,8
"26","Deer Creek 1",26,"Control",1.26553029162131,0.650353919082897,7
"27","Deer Creek 1",27,"Castilleja",1.24231493351838,0.693349165919917,6
"28","Deer Creek 1",28,"Control",1.36642549494887,0.70220379682599,7
"29","Deer Creek 1",29,"Castilleja",1.07201696856319,0.773296782147469,4
"30","Deer Creek 1",30,"Control",1.136916591833,0.706405996186294,5
"31","Deer Creek 1",31,"Castilleja",0.988825250371335,0.55187388003444,6
"32","Deer Creek 1",32,"Control",0.817412315865301,0.420066834155797,7
"33","Deer Creek 1",33,"Castilleja",1.09617399596671,0.611786355698165,6
"34","Deer Creek 1",34,"Control",0,0,3
"35","Deer Creek 1",35,"Castilleja",1.22894206175885,0.685885624083415,6
"36","Deer Creek 1",36,"Control",0.773188695987264,0.557737748686115,4
"37","Deer Creek 1",37,"Castilleja",0.725625433257446,0.348952071367808,8
"38","Deer Creek 1",38,"Control",1.1701580726289,0.653077655078916,6
"39","Deer Creek 1",39,"Castilleja",1.04936946660493,0.539269229421701,7
"40","Deer Creek 1",40,"Control",1.2568806292826,0.70147843550904,6
"41","Deer Creek 2",41,"Castilleja",1.6177642836162,0.777980169766792,8
"42","Deer Creek 2",42,"Control",1.20147065447291,0.670553539750814,6
"43","Deer Creek 2",43,"Castilleja",1.1701580726289,0.562727082812634,8
"44","Deer Creek 2",44,"Control",1.38937472185872,0.668148007054021,8
"45","Deer Creek 2",45,"Castilleja",1.48189613630576,0.712641402320278,8
"46","Deer Creek 2",46,"Control",0.988154224290194,0.507810817868398,7
"47","Deer Creek 2",47,"Castilleja",1.16188108828821,0.504598545271313,10
"48","Deer Creek 2",48,"Control",1.83944963454371,0.837169606383041,9
"49","Deer Creek 2",49,"Castilleja",1.67584260972651,0.698880651184897,11
"50","Deer Creek 2",50,"Control",0.776214104191106,0.398895141467831,7
"51","Deer Creek 2",51,"Castilleja",1.63190932113464,0.656728622491258,12
"52","Deer Creek 2",52,"Control",1.39998287114105,0.719448876825428,7
"53","Deer Creek 2",53,"Castilleja",1.61014038076161,0.69927508245437,10
"54","Deer Creek 2",54,"Control",0.923036287655795,0.57351469138676,5
"55","Deer Creek 2",55,"Castilleja",1.22612630295325,0.761835106207279,5
"56","Deer Creek 2",56,"Control",1.79609144751805,0.817436445069952,9
"57","Deer Creek 2",57,"Castilleja",1.44907046906986,0.744674912031956,7
"58","Deer Creek 2",58,"Control",1.29321144840314,0.588565894329723,9
"59","Deer Creek 2",59,"Castilleja",1.79894174020554,0.781270471036699,10
"60","Deer Creek 2",60,"Control",0.972439911716149,0.499735258685116,7
"61","Deer Creek 2",61,"Castilleja",2.03715799131108,0.849560868825473,11
"62","Deer Creek 2",62,"Control",0.62770525719715,0.571361947860734,3
"63","Deer Creek 2",63,"Castilleja",1.19561195716302,0.57496781380888,8
"64","Deer Creek 2",64,"Control",0,0,5
"65","Deer Creek 2",65,"Castilleja",1.62151654082469,0.737983981041443,9
"66","Deer Creek 2",66,"Control",1.04309912452084,0.536046911018597,7
"67","Deer Creek 2",67,"Castilleja",1.64025459197062,0.788795721877121,8
"68","Deer Creek 2",68,"Control",0.514653165428929,0.319771990862681,5
"69","Deer Creek 2",69,"Castilleja",1.88877029658482,0.787678393635849,11
"70","Deer Creek 2",70,"Control",0.223718076065834,0.322756958897398,2
"71","Deer Creek 2",71,"Castilleja",1.00261270297949,0.622958298194399,5
"72","Deer Creek 2",72,"Control",1.19354960409813,0.860964047443681,4
"73","Deer Creek 2",73,"Castilleja",1.23063932177022,0.632423507512749,7
"74","Deer Creek 2",74,"Control",1.40256684329489,0.720776775832018,7
"75","Deer Creek 2",75,"Castilleja",1.96872295774281,0.767548471089973,13
"76","Deer Creek 2",76,"Control",1.45800779077492,0.813729641625991,6
"77","Deer Creek 2",77,"Castilleja",1.70497230757696,0.775966337334512,9
"78","Deer Creek 2",78,"Control",1.34375213306683,0.611567951190456,9
"79","Deer Creek 2",79,"Castilleja",1.58274343105488,0.687376738375752,10
"80","Deer Creek 2",80,"Control",1.58176267011756,0.719891214777506,9
