Date,Site,Field Plot,Plot,Treatment,Agastache urticifolia,Amelanchier alnifolia,Arctostaphylos uva-ursi,Artemisia tridentada,Berberis repens,Bochera stricta,Bromus inermis,Calochortus gunnisonii,Carex obtusata,Castilleja linariifolia,Collomia linearis,Crepis Acuminata ,Crepis occidentalis,Delphinum nuttalliianum,Elymus elymoides,Elymus glaucus,Eremogone congesta,Erigeron speciosus,*Erigeron sp. ,Eriogonum umbellatum,Festuca thurberi,Galium bifolium,Gayophytum diffusum,Heliomerus multiflora ,Hesperostipa  comata,Heterotheca villosa,Ipomopsis aggregatta,Juniperusus commonis,Koeleria macrantha,Lathyrus lanszwertii,Linum lewisii,Lomatium dissectum,Lupinus argenteus ,Poa pratensis,Poa sp.,Populus tremuloides,Potentilla hippiana,Rosa blanda,Senecio integerrimus,Simphoricarpos rotundifolius,Vicia americana,Viola nuttalii,Wyethia amplexicaulis
7/7/23,Deer Creek 1,C1,1,Castilleja,0,0,0,1,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
7/7/23,Deer Creek 1,C1C,2,Control,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
7/7/23,Deer Creek 1,C2,3,Castilleja,0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,1,1,15,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0
7/7/23,Deer Creek 1,C2C,4,Control,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,1,0,2,0
7/11/23,Deer Creek 1,C3,5,Castilleja,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,0,0,0,2,0,0,0,2,0
7/11/23,Deer Creek 1,C3C,6,Control,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,15,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0
7/11/23,Deer Creek 1,C4,7,Castilleja,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,15,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0
7/11/23,Deer Creek 1,C4C,8,Control,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7/11/23,Deer Creek 1,C5,9,Castilleja,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,15,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
7/11/23,Deer Creek 1,C5C,10,Control,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
7/11/23,Deer Creek 1,C6,11,Castilleja,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,15,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
7/11/23,Deer Creek 1,C6C,12,Control,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,15,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
7/11/23,Deer Creek 1,C7,13,Castilleja,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,3,0,0,0
7/11/23,Deer Creek 1,C7C,14,Control,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
7/11/23,Deer Creek 1,C8,15,Castilleja,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,15,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0
7/11/23,Deer Creek 1,C8C,16,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,15,1,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
7/11/23,Deer Creek 1,C9,17,Castilleja,4,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,2,3,0,0
7/11/23,Deer Creek 1,C9C,18,Control,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,15,15,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,3,0,0,0
7/13/23,Deer Creek 1,C10,19,Castilleja,3,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,5,0,0,0,15,0,2,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,2,0,1,0
7/13/23,Deer Creek 1,C10C,20,Control,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,2,0,15,15,0,2,0,0,0,0,4,0,0,0,1,0,0,0,0,0,3,0,1,0
7/13/23,Deer Creek 1,C11,21,Castilleja,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/13/23,Deer Creek 1,C11C,22,Control,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
7/13/23,Deer Creek 1,C12,23,Castilleja,0,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,1,15,15,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
7/13/23,Deer Creek 1,C12C,24,Control,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,15,15,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0
7/13/23,Deer Creek 1,C13,25,Castilleja,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,1,15,15,0,0,1,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
7/13/23,Deer Creek 1,C13C,26,Control,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,7,0,1,0,0,0
7/13/23,Deer Creek 1,C14,27,Castilleja,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7/13/23,Deer Creek 1,C14C,28,Control,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0
7/13/23,Deer Creek 1,C15,29,Castilleja,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7/13/23,Deer Creek 1,C15C,30,Control,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7/13/23,Deer Creek 1,C16,31,Castilleja,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
7/13/23,Deer Creek 1,C16C,32,Control,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,15,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
7/13/23,Deer Creek 1,C17,33,Castilleja,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7/13/23,Deer Creek 1,C17C,34,Control,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7/13/23,Deer Creek 1,C18,35,Castilleja,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,15,15,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
7/13/23,Deer Creek 1,C18C,36,Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
7/13/23,Deer Creek 1,C19,37,Castilleja,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7/13/23,Deer Creek 1,C19C,38,Control,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7/13/23,Deer Creek 1,C20,39,Castilleja,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0
7/13/23,Deer Creek 1,C20C,40,Control,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,2,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0
7/14/23,Deer Creek 2,D1,41,Castilleja,0,0,0,1,4,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7/14/23,Deer Creek 2,D1C,42,Control,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7/14/23,Deer Creek 2,D2,43,Castilleja,0,0,0,3,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/14/23,Deer Creek 2,D2C,44,Control,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/14/23,Deer Creek 2,D3,45,Castilleja,0,1,0,3,2,1,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,15,15,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
7/14/23,Deer Creek 2,D3C,46,Control,0,0,0,2,0,1,0,0,15,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
7/14/23,Deer Creek 2,D4,47,Castilleja,0,1,1,1,1,0,0,0,15,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7/14/23,Deer Creek 2,D4C,48,Control,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,2,0
7/14/23,Deer Creek 2,D5,49,Castilleja,0,1,0,1,3,0,0,0,2,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7/14/23,Deer Creek 2,D5C,50,Control,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/14/23,Deer Creek 2,D6,51,Castilleja,0,1,1,0,5,0,0,0,2,1,0,0,0,0,3,0,1,0,1,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7/14/23,Deer Creek 2,D6C,52,Control,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
7/18/23,Deer Creek 2,D7,53,Castilleja,0,0,2,1,2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0
7/18/23,Deer Creek 2,D7C,54,Control,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
7/18/23,Deer Creek 2,D8,55,Castilleja,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
7/18/23,Deer Creek 2,D8C,56,Control,0,1,0,0,6,0,0,0,4,0,0,0,0,0,0,0,2,0,0,3,0,0,15,0,1,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0
7/18/23,Deer Creek 2,D9,57,Castilleja,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
7/18/23,Deer Creek 2,D9C,58,Control,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,2,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,7,0,0,0,0,0,0
7/18/23,Deer Creek 2,D10,59,Castilleja,0,2,0,0,0,0,0,1,3,1,0,0,0,0,0,0,2,0,0,3,0,0,15,0,2,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0
7/18/23,Deer Creek 2,D10C,60,Control,0,2,0,2,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
7/18/23,Deer Creek 2,D11,61,Castilleja,0,1,5,0,1,0,0,1,5,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,1,0,0,0
7/18/23,Deer Creek 2,D11C,62,Control,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7/18/23,Deer Creek 2,D12,63,Castilleja,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7/18/23,Deer Creek 2,D12C,64,Control,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/18/23,Deer Creek 2,D13,65,Castilleja,0,1,0,0,3,0,0,0,6,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7/18/23,Deer Creek 2,D13C,66,Control,0,2,2,1,5,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
7/18/23,Deer Creek 2,D14,67,Castilleja,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,5,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,0
7/18/23,Deer Creek 2,D14C,68,Control,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
7/18/23,Deer Creek 2,D15,69,Castilleja,0,0,6,4,0,0,0,0,6,1,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,2,0,0,1
7/18/23,Deer Creek 2,D15C,70,Control,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/18/23,Deer Creek 2,D16,71,Castilleja,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
7/18/23,Deer Creek 2,D16C,72,Control,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/18/23,Deer Creek 2,D17,73,Castilleja,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7/18/23,Deer Creek 2,D17C,74,Control,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,2,6,0,15,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
7/18/23,Deer Creek 2,D18,75,Castilleja,0,2,2,0,0,0,0,3,5,1,0,0,0,0,0,0,7,0,0,3,1,0,0,0,1,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0
7/18/23,Deer Creek 2,D18C,76,Control,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0
7/18/23,Deer Creek 2,D19,77,Castilleja,0,3,1,0,1,0,0,1,5,1,0,0,0,0,0,0,4,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7/18/23,Deer Creek 2,D19C,78,Control,0,0,4,1,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7/18/23,Deer Creek 2,D20,79,Castilleja,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,3,0,1,3,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
7/18/23,Deer Creek 2,D20C,80,Control,0,0,2,1,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,1,0,0,0