"year","date","site","pair","plot","castilleja","total_cover","plant_cover","bare","no_plant","no_total","species"
2023,"7/25/23","Avery",1,1,"Castilleja",1.1,0.95,0.15,0.92,1.07,"C. septentrionalis"
2023,"7/25/23","Avery",1,2,"Control",1.04,0.54,0.5,0.54,1.04,"C. septentrionalis"
2023,"7/25/23","Avery",2,3,"Castilleja",1.06,0.85,0.2,0.76,0.96,"C. septentrionalis"
2023,"7/25/23","Avery",2,4,"Control",1.12,0.84,0.25,0.87,1.12,"C. septentrionalis"
2023,"7/26/23","Avery",3,5,"Castilleja",1.005,0.675,0.33,0.575,0.905,"C. septentrionalis"
2023,"7/26/23","Avery",3,6,"Control",1.09,0.69,0.4,0.69,1.09,"C. septentrionalis"
2023,"7/26/23","Avery",4,7,"Castilleja",1.075,0.875,0.2,0.845,1.045,"C. septentrionalis"
2023,"7/26/23","Avery",4,8,"Control",1.11,0.86,0.25,0.86,1.11,"C. septentrionalis"
2023,"7/26/23","Avery",5,9,"Castilleja",1.115,0.665,0.45,0.625,1.075,"C. septentrionalis"
2023,"7/26/23","Avery",5,10,"Control",1.005,0.355,0.65,0.355,1.005,"C. septentrionalis"
2023,"7/26/23","Avery",6,11,"Castilleja",1.21,0.86,0.3,0.79,1.09,"C. septentrionalis"
2023,"7/26/23","Avery",6,12,"Control",1.2,0.8,0.3,0.9,1.2,"C. septentrionalis"
2023,"7/26/23","Avery",7,13,"Castilleja",1.21,0.58,0.6,0.53,1.13,"C. septentrionalis"
2023,"7/26/23","Avery",7,14,"Control",1.09,0.59,0.45,0.64,1.09,"C. septentrionalis"
2023,"7/27/23","Avery",8,15,"Castilleja",1.03,0.73,0.3,0.61,0.91,"C. septentrionalis"
2023,"7/27/23","Avery",8,16,"Control",1.06,0.31,0.75,0.31,1.06,"C. septentrionalis"
2023,"7/27/23","Avery",9,17,"Castilleja",1.025,0.625,0.4,0.605,1.005,"C. septentrionalis"
2023,"7/27/23","Avery",9,18,"Control",1.01,0.86,0.15,0.86,1.01,"C. septentrionalis"
2023,"7/27/23","Avery",10,19,"Castilleja",1.2,0.61,0.55,0.62,1.17,"C. septentrionalis"
2023,"7/27/23","Avery",10,20,"Control",1.21,0.51,0.7,0.51,1.21,"C. septentrionalis"
2023,"7/27/23","Avery",11,21,"Castilleja",1.43,0.88,0.55,0.63,1.18,"C. septentrionalis"
2023,"7/27/23","Avery",11,22,"Control",1.08,0.73,0.35,0.73,1.08,"C. septentrionalis"
2023,"7/27/23","Avery",12,23,"Castilleja",1.16,0.81,0.35,0.76,1.11,"C. septentrionalis"
2023,"7/27/23","Avery",12,24,"Control",1.16,0.96,0.2,0.96,1.16,"C. septentrionalis"
2023,"7/28/23","Avery",13,25,"Castilleja",1.035,0.585,0.45,0.545,0.995,"C. septentrionalis"
2023,"7/28/23","Avery",13,26,"Control",1.19,0.57,0.6,0.59,1.19,"C. septentrionalis"
2023,"7/28/23","Avery",14,27,"Castilleja",1.02,0.83,0.15,0.83,0.98,"C. septentrionalis"
2023,"7/28/23","Avery",14,28,"Control",1.135,0.485,0.65,0.485,1.135,"C. septentrionalis"
2023,"7/28/23","Avery",15,29,"Castilleja",1.18,0.68,0.5,0.56,1.06,"C. septentrionalis"
2023,"7/28/23","Avery",15,30,"Control",1.055,0.505,0.55,0.505,1.055,"C. septentrionalis"
2023,"7/28/23","Avery",16,31,"Castilleja",1.02,0.82,0.15,0.79,0.94,"C. septentrionalis"
2023,"7/28/23","Avery",16,32,"Control",1.07,0.45,0.6,0.47,1.07,"C. septentrionalis"
2023,"7/28/23","Avery",17,33,"Castilleja",1.11,0.76,0.3,0.8,1.1,"C. septentrionalis"
2023,"7/28/23","Avery",17,34,"Control",1.14,0.66,0.4,0.74,1.14,"C. septentrionalis"
2023,"7/28/23","Avery",18,35,"Castilleja",1.025,0.625,0.4,0.575,0.975,"C. septentrionalis"
2023,"7/28/23","Avery",18,36,"Control",1,0.51,0.45,0.55,1,"C. septentrionalis"
2023,"7/28/23","Avery",19,37,"Castilleja",1.01,0.66,0.35,0.61,0.96,"C. septentrionalis"
2023,"7/28/23","Avery",19,38,"Control",1,0.41,0.59,0.41,1,"C. septentrionalis"
2023,"7/28/23","Avery",20,39,"Castilleja",1.15,0.95,0.2,0.92,1.12,"C. septentrionalis"
2023,"7/28/23","Avery",20,40,"Control",1.005,0.705,0.3,0.705,1.005,"C. septentrionalis"
2024,"10-Jul","Avery",21,41,"Castilleja",1.11,0.86,0.25,0.74,0.99,"C. septentrionalis"
2024,"10-Jul","Avery",21,42,"Control",1.39,1.29,0.1,1.29,1.39,"C. septentrionalis"
2024,"10-Jul","Avery",22,43,"Castilleja",1.22,1.17,0.05,1.12,1.17,"C. septentrionalis"
2024,"10-Jul","Avery",22,44,"Control",1.02,0.92,0.1,0.92,1.02,"C. septentrionalis"
2024,"10-Jul","Avery",23,45,"Castilleja",1.055,1.005,0.05,0.985,1.035,"C. septentrionalis"
2024,"10-Jul","Avery",23,46,"Control",1.045,0.895,0.15,0.895,1.045,"C. septentrionalis"
2024,"10-Jul","Avery",24,47,"Castilleja",1.24,1.14,0.1,1.06,1.16,"C. septentrionalis"
2024,"10-Jul","Avery",24,48,"Control",1,0.75,0.25,0.75,1,"C. septentrionalis"
2024,"10-Jul","Avery",25,49,"Castilleja",1.35,1.3,0.05,1.28,1.33,"C. septentrionalis"
2024,"10-Jul","Avery",25,50,"Control",1.065,0.965,0.1,0.965,1.065,"C. septentrionalis"
2024,"10-Jul","Avery",26,51,"Castilleja",1,0.84,0.16,0.83,0.99,"C. septentrionalis"
2024,"10-Jul","Avery",26,52,"Control",1.3,1.22,0.08,1.22,1.3,"C. septentrionalis"
2024,"10-Jul","Avery",27,53,"Castilleja",1.345,1.265,0.08,1.115,1.195,"C. septentrionalis"
2024,"10-Jul","Avery",27,54,"Control",1.245,1.195,0.05,1.195,1.245,"C. septentrionalis"
2024,"10-Jul","Avery",28,55,"Castilleja",1.4,1.4,0,1.38,1.38,"C. septentrionalis"
2024,"10-Jul","Avery",28,56,"Control",1,0.94,0.06,0.94,1,"C. septentrionalis"
2024,"7/11/24","Avery",29,57,"Castilleja",1.34,1.34,0,1.27,1.27,"C. septentrionalis"
2024,"7/11/24","Avery",29,58,"Control",1.11,1.06,0.05,1.06,1.11,"C. septentrionalis"
2024,"7/11/24","Avery",30,59,"Castilleja",1.2,1.2,0,1.16,1.16,"C. septentrionalis"
2024,"7/11/24","Avery",30,60,"Control",1.1,1.1,0,1.1,1.1,"C. septentrionalis"
2024,"7/11/24","Avery",31,61,"Castilleja",1.34,1.29,0.05,1.23,1.28,"C. septentrionalis"
2024,"7/11/24","Avery",31,62,"Control",1,0.78,0.22,0.78,1,"C. septentrionalis"
2024,"7/11/24","Avery",32,63,"Castilleja",1.355,1.325,0.03,1.225,1.255,"C. septentrionalis"
2024,"7/11/24","Avery",32,64,"Control",1.11,0.96,0.15,0.96,1.11,"C. septentrionalis"
2024,"7/11/24","Avery",33,65,"Castilleja",1.13,1.03,0.1,0.91,1.01,"C. septentrionalis"
2024,"7/11/24","Avery",33,66,"Control",1,0.76,0.24,0.76,1,"C. septentrionalis"
2024,"7/11/24","Avery",34,67,"Castilleja",1.19,1.11,0.08,1.01,1.09,"C. septentrionalis"
2024,"7/11/24","Avery",34,68,"Control",1.055,0.955,0.1,0.955,1.055,"C. septentrionalis"
2024,"7/11/24","Avery",35,69,"Castilleja",1.06,0.86,0.2,0.79,0.99,"C. septentrionalis"
2024,"7/11/24","Avery",35,70,"Control",1.22,1.02,0.2,1.02,1.22,"C. septentrionalis"
2024,"7/11/24","Avery",36,71,"Castilleja",1.12,1.02,0.1,0.92,1.02,"C. septentrionalis"
2024,"7/11/24","Avery",36,72,"Control",1,0.65,0.35,0.65,1,"C. septentrionalis"
2024,"7/11/24","Avery",37,73,"Castilleja",1.25,1.05,0.2,0.97,1.17,"C. septentrionalis"
2024,"7/11/24","Avery",37,74,"Control",1.22,1.18,0.04,1.18,1.22,"C. septentrionalis"
2024,"7/11/24","Avery",38,75,"Castilleja",1.22,0.97,0.25,0.82,1.07,"C. septentrionalis"
2024,"7/11/24","Avery",38,76,"Control",1.15,0.97,0.18,0.97,1.15,"C. septentrionalis"
2024,"7/11/24","Avery",39,77,"Castilleja",1.39,1.36,0.03,1.21,1.24,"C. septentrionalis"
2024,"7/11/24","Avery",39,78,"Control",1.35,1.25,0.1,1.25,1.35,"C. septentrionalis"
2024,"7/11/24","Avery",40,79,"Castilleja",1.185,1.105,0.08,1.005,1.085,"C. septentrionalis"
2024,"7/11/24","Avery",40,80,"Control",1.11,0.91,0.2,0.91,1.11,"C. septentrionalis"
2024,"18-Jul","Copper Creek",41,81,"Castilleja",1.055,0.655,0.4,0.605,1.005,"C. septentrionalis"
2024,"18-Jul","Copper Creek",41,82,"Control",1.005,0.605,0.4,0.605,1.005,"C. septentrionalis"
2024,"18-Jul","Copper Creek",42,83,"Castilleja",1.046,0.746,0.3,0.656,0.956,"C. septentrionalis"
2024,"18-Jul","Copper Creek",42,84,"Control",1.04,0.64,0.4,0.64,1.04,"C. septentrionalis"
2024,"18-Jul","Copper Creek",43,85,"Castilleja",1.055,0.705,0.35,0.685,1.035,"C. septentrionalis"
2024,"18-Jul","Copper Creek",43,86,"Control",1.195,0.645,0.55,0.645,1.195,"C. septentrionalis"
2024,"18-Jul","Copper Creek",44,87,"Castilleja",1.105,0.655,0.45,0.595,1.045,"C. septentrionalis"
2024,"18-Jul","Copper Creek",44,88,"Control",1.01,0.51,0.5,0.51,1.01,"C. septentrionalis"
2024,"18-Jul","Copper Creek",45,89,"Castilleja",1.06,0.66,0.4,0.63,1.03,"C. septentrionalis"
2024,"18-Jul","Copper Creek",45,90,"Control",1.12,0.72,0.4,0.72,1.12,"C. septentrionalis"
2024,"18-Jul","Copper Creek",46,91,"Castilleja",1.2,0.85,0.35,0.79,1.14,"C. septentrionalis"
2024,"18-Jul","Copper Creek",46,92,"Control",1.235,1.035,0.2,1.035,1.235,"C. septentrionalis"
2024,"18-Jul","Copper Creek",47,93,"Castilleja",1.115,0.815,0.3,0.755,1.055,"C. septentrionalis"
2024,"18-Jul","Copper Creek",47,94,"Control",1.015,0.765,0.25,0.765,1.015,"C. septentrionalis"
2024,"18-Jul","Copper Creek",48,95,"Castilleja",1.15,0.95,0.2,0.89,1.09,"C. septentrionalis"
2024,"18-Jul","Copper Creek",48,96,"Control",1,0.8,0.2,0.8,1,"C. septentrionalis"
2024,"22-Jul","Copper Creek",49,97,"Castilleja",1,0.6,0.4,0.57,0.97,"C. septentrionalis"
2024,"22-Jul","Copper Creek",49,98,"Control",1.095,0.645,0.45,0.645,1.095,"C. septentrionalis"
2024,"22-Jul","Copper Creek",50,99,"Castilleja",1.07,0.77,0.3,0.68,0.98,"C. septentrionalis"
2024,"22-Jul","Copper Creek",50,100,"Control",1,0.59,0.41,0.59,1,"C. septentrionalis"
2024,"22-Jul","Copper Creek",51,101,"Castilleja",1.04,0.69,0.35,0.61,0.96,"C. septentrionalis"
2024,"22-Jul","Copper Creek",51,102,"Control",1.01,0.41,0.6,0.41,1.01,"C. septentrionalis"
2024,"22-Jul","Copper Creek",52,103,"Castilleja",1.28,0.98,0.3,0.94,1.24,"C. septentrionalis"
2024,"22-Jul","Copper Creek",52,104,"Control",1.015,0.615,0.4,0.615,1.015,"C. septentrionalis"
2024,"22-Jul","Copper Creek",53,105,"Castilleja",1.17,0.62,0.55,0.56,1.11,"C. septentrionalis"
2024,"22-Jul","Copper Creek",53,106,"Control",1.175,0.525,0.65,0.525,1.175,"C. septentrionalis"
2024,"22-Jul","Copper Creek",54,107,"Castilleja",1.02,0.67,0.35,0.6,0.95,"C. septentrionalis"
2024,"22-Jul","Copper Creek",54,108,"Control",1.14,0.59,0.55,0.59,1.14,"C. septentrionalis"
2024,"22-Jul","Copper Creek",55,109,"Castilleja",1.04,0.64,0.4,0.55,0.95,"C. septentrionalis"
2024,"22-Jul","Copper Creek",55,110,"Control",1.14,0.69,0.45,0.69,1.14,"C. septentrionalis"
2024,"22-Jul","Copper Creek",56,111,"Castilleja",1.09,0.74,0.35,0.71,1.06,"C. septentrionalis"
2024,"22-Jul","Copper Creek",56,112,"Control",1.17,0.82,0.35,0.82,1.17,"C. septentrionalis"
2024,"7/23/24","Copper Creek",57,113,"Castilleja",1.23,0.98,0.25,0.85,1.1,"C. septentrionalis"
2024,"7/23/24","Copper Creek",57,114,"Control",1.12,0.57,0.55,0.57,1.12,"C. septentrionalis"
2024,"7/23/24","Copper Creek",58,115,"Castilleja",1.105,0.855,0.25,0.735,0.985,"C. septentrionalis"
2024,"7/23/24","Copper Creek",58,116,"Control",1.08,0.68,0.4,0.68,1.08,"C. septentrionalis"
2024,"7/23/24","Copper Creek",59,117,"Castilleja",1.03,0.43,0.6,0.36,0.96,"C. septentrionalis"
2024,"7/23/24","Copper Creek",59,118,"Control",1.095,0.395,0.7,0.395,1.095,"C. septentrionalis"
2024,"7/23/24","Copper Creek",60,119,"Castilleja",1.02,0.77,0.25,0.69,0.94,"C. septentrionalis"
2024,"7/23/24","Copper Creek",60,120,"Control",1.005,0.505,0.5,0.505,1.005,"C. septentrionalis"
2023,"7/31/23","Emerald Lake",61,121,"Castilleja",1.05,0.85,0.2,0.83,1.03,"C. septentrionalis"
2023,"7/31/23","Emerald Lake",61,122,"Control",1.02,0.87,0.15,0.87,1.02,"C. septentrionalis"
2023,"7/31/23","Emerald Lake",62,123,"Castilleja",1.26,0.71,0.55,0.67,1.22,"C. septentrionalis"
2023,"7/31/23","Emerald Lake",62,124,"Control",1.165,0.665,0.5,0.665,1.165,"C. septentrionalis"
2023,"7/31/23","Emerald Lake",63,125,"Castilleja",1.225,0.625,0.6,0.605,1.205,"C. septentrionalis"
2023,"7/31/23","Emerald Lake",63,126,"Control",1.365,0.665,0.7,0.665,1.365,"C. septentrionalis"
2023,"7/31/23","Emerald Lake",64,127,"Castilleja",1.11,0.76,0.35,0.68,1.03,"C. septentrionalis"
2023,"7/31/23","Emerald Lake",64,128,"Control",1.05,0.75,0.3,0.75,1.05,"C. septentrionalis"
2023,"8/1/23","Emerald Lake",65,129,"Castilleja",1.15,0.75,0.4,0.74,1.14,"C. septentrionalis"
2023,"8/1/23","Emerald Lake",65,130,"Control",1.28,0.88,0.4,0.88,1.28,"C. septentrionalis"
2023,"8/1/23","Emerald Lake",66,131,"Castilleja",1.07,0.72,0.35,0.68,1.03,"C. septentrionalis"
2023,"8/1/23","Emerald Lake",66,132,"Control",1.035,0.535,0.5,0.535,1.035,"C. septentrionalis"
2023,"8/1/23","Emerald Lake",67,133,"Castilleja",1.01,0.51,0.5,0.46,0.96,"C. septentrionalis"
2023,"8/1/23","Emerald Lake",67,134,"Control",1.08,0.53,0.55,0.53,1.08,"C. septentrionalis"
2023,"8/1/23","Emerald Lake",68,135,"Castilleja",1.05,0.75,0.3,0.74,1.04,"C. septentrionalis"
2023,"8/1/23","Emerald Lake",68,136,"Control",1.175,0.625,0.55,0.625,1.175,"C. septentrionalis"
2023,"8/1/23","Emerald Lake",69,137,"Castilleja",1.17,0.62,0.55,0.54,1.09,"C. septentrionalis"
2023,"8/1/23","Emerald Lake",69,138,"Control",1.07,0.47,0.6,0.47,1.07,"C. septentrionalis"
2023,"8/1/23","Emerald Lake",70,139,"Castilleja",1.01,0.66,0.35,0.62,0.97,"C. septentrionalis"
2023,"8/1/23","Emerald Lake",70,140,"Control",1.2,0.7,0.5,0.7,1.2,"C. septentrionalis"
2023,"8/1/23","Emerald Lake",71,141,"Castilleja",1.14,0.49,0.65,0.44,1.09,"C. septentrionalis"
2023,"8/1/23","Emerald Lake",71,142,"Control",1.01,0.61,0.4,0.61,1.01,"C. septentrionalis"
2023,"8/1/23","Emerald Lake",72,143,"Castilleja",1.12,0.37,0.75,0.29,1.04,"C. septentrionalis"
2023,"8/1/23","Emerald Lake",72,144,"Control",1.09,0.29,0.8,0.29,1.09,"C. septentrionalis"
2023,"8/3/23","Emerald Lake",73,145,"Castilleja",1.11,0.76,0.35,0.74,1.09,"C. septentrionalis"
2023,"8/3/23","Emerald Lake",73,146,"Control",1.29,0.54,0.75,0.54,1.29,"C. septentrionalis"
2023,"8/3/23","Emerald Lake",74,147,"Castilleja",1.15,0.85,0.3,0.81,1.11,"C. septentrionalis"
2023,"8/3/23","Emerald Lake",74,148,"Control",1,0.69,0.31,0.69,1,"C. septentrionalis"
2023,"8/3/23","Emerald Lake",75,149,"Castilleja",1.245,0.745,0.5,0.705,1.205,"C. septentrionalis"
2023,"8/3/23","Emerald Lake",75,150,"Control",1.11,0.61,0.5,0.61,1.11,"C. septentrionalis"
2023,"8/3/23","Emerald Lake",76,151,"Castilleja",1.06,0.56,0.5,0.52,1.02,"C. septentrionalis"
2023,"8/3/23","Emerald Lake",76,152,"Control",1,0.64,0.36,0.64,1,"C. septentrionalis"
2023,"8/3/23","Emerald Lake",77,153,"Castilleja",1.03,0.78,0.25,0.73,0.98,"C. septentrionalis"
2023,"8/3/23","Emerald Lake",77,154,"Control",1,0.53,0.47,0.53,1,"C. septentrionalis"
2023,"8/3/23","Emerald Lake",78,155,"Castilleja",1.075,0.525,0.55,0.445,0.995,"C. septentrionalis"
2023,"8/3/23","Emerald Lake",78,156,"Control",1.07,0.32,0.75,0.32,1.07,"C. septentrionalis"
2023,"8/3/23","Emerald Lake",79,157,"Castilleja",1.06,0.71,0.35,0.59,0.94,"C. septentrionalis"
2023,"8/3/23","Emerald Lake",79,158,"Control",1,0.6,0.4,0.6,1,"C. septentrionalis"
2023,"8/3/23","Emerald Lake",80,159,"Castilleja",1.15,0.65,0.5,0.61,1.11,"C. septentrionalis"
2023,"8/3/23","Emerald Lake",80,160,"Control",1.035,0.485,0.55,0.485,1.035,"C. septentrionalis"
2024,"7/25/24","Emerald Lake",81,161,"Castilleja",1.33,1.29,0.04,1.26,1.3,"C. septentrionalis"
2024,"7/25/24","Emerald Lake",81,162,"Control",1,0.97,0.03,0.97,1,"C. septentrionalis"
2024,"7/25/24","Emerald Lake",82,163,"Castilleja",1.11,0.81,0.3,0.72,1.02,"C. septentrionalis"
2024,"7/25/24","Emerald Lake",82,164,"Control",1.1,0.85,0.25,0.85,1.1,"C. septentrionalis"
2024,"7/25/24","Emerald Lake",83,165,"Castilleja",1,0.65,0.35,0.63,0.98,"C. septentrionalis"
2024,"7/25/24","Emerald Lake",83,166,"Control",1.005,0.695,0.31,0.695,1.005,"C. septentrionalis"
2024,"7/25/24","Emerald Lake",84,167,"Castilleja",1.01,0.89,0.12,0.81,0.93,"C. septentrionalis"
2024,"7/25/24","Emerald Lake",84,168,"Control",1.151,1.051,0.1,1.051,1.151,"C. septentrionalis"
2024,"7/25/24","Emerald Lake",85,169,"Castilleja",1.23,0.93,0.3,0.88,1.18,"C. septentrionalis"
2024,"7/25/24","Emerald Lake",85,170,"Control",1.18,0.88,0.3,0.88,1.18,"C. septentrionalis"
2024,"7/25/24","Emerald Lake",86,171,"Castilleja",1.145,0.965,0.18,0.855,1.035,"C. septentrionalis"
2024,"7/25/24","Emerald Lake",86,172,"Control",1,0.6,0.4,0.6,1,"C. septentrionalis"
2024,"7/26/24","Emerald Lake",87,173,"Castilleja",1.325,1.025,0.3,0.955,1.255,"C. septentrionalis"
2024,"7/26/24","Emerald Lake",87,174,"Control",1.05,0.87,0.18,0.87,1.05,"C. septentrionalis"
2024,"7/26/24","Emerald Lake",88,175,"Castilleja",1,0.78,0.22,0.71,0.93,"C. septentrionalis"
2024,"7/26/24","Emerald Lake",88,176,"Control",1.005,0.605,0.4,0.605,1.005,"C. septentrionalis"
2024,"7/26/24","Emerald Lake",89,177,"Castilleja",1.14,0.84,0.3,0.77,1.07,"C. septentrionalis"
2024,"7/26/24","Emerald Lake",89,178,"Control",1.005,0.855,0.15,0.855,1.005,"C. septentrionalis"
2024,"7/26/24","Emerald Lake",90,179,"Castilleja",1.035,0.865,0.17,0.785,0.955,"C. septentrionalis"
2024,"7/26/24","Emerald Lake",90,180,"Control",1.015,0.665,0.35,0.665,1.015,"C. septentrionalis"
2024,"7/26/24","Emerald Lake",91,181,"Castilleja",1.05,0.8,0.25,0.78,1.03,"C. septentrionalis"
2024,"7/26/24","Emerald Lake",91,182,"Control",1.005,0.835,0.17,0.835,1.005,"C. septentrionalis"
2024,"7/26/24","Emerald Lake",92,183,"Castilleja",1.11,0.88,0.23,0.83,1.06,"C. septentrionalis"
2024,"7/26/24","Emerald Lake",92,184,"Control",1.085,0.485,0.6,0.485,1.085,"C. septentrionalis"
2024,"7/26/24","Emerald Lake",93,185,"Castilleja",1,0.82,0.18,0.73,0.91,"C. septentrionalis"
2024,"7/26/24","Emerald Lake",93,186,"Control",1,0.67,0.33,0.67,1,"C. septentrionalis"
2024,"7/27/24","Emerald Lake",94,187,"Castilleja",1.155,0.805,0.35,0.775,1.125,"C. septentrionalis"
2024,"7/27/24","Emerald Lake",94,188,"Control",1.09,0.54,0.55,0.54,1.09,"C. septentrionalis"
2024,"7/27/24","Emerald Lake",95,189,"Castilleja",1,0.69,0.31,0.66,0.97,"C. septentrionalis"
2024,"7/27/24","Emerald Lake",95,190,"Control",1.06,0.21,0.85,0.21,1.06,"C. septentrionalis"
2024,"7/27/24","Emerald Lake",96,191,"Castilleja",1.1,0.75,0.35,0.71,1.06,"C. septentrionalis"
2024,"7/27/24","Emerald Lake",96,192,"Control",1.03,0.63,0.4,0.63,1.03,"C. septentrionalis"
2024,"7/27/24","Emerald Lake",97,193,"Castilleja",1.02,0.87,0.15,0.81,0.96,"C. septentrionalis"
2024,"7/27/24","Emerald Lake",97,194,"Control",1,0.83,0.17,0.83,1,"C. septentrionalis"
2024,"7/27/24","Emerald Lake",98,195,"Castilleja",1.055,0.855,0.2,0.845,1.045,"C. septentrionalis"
2024,"7/27/24","Emerald Lake",98,196,"Control",1.02,0.52,0.5,0.52,1.02,"C. septentrionalis"
2024,"7/27/24","Emerald Lake",99,197,"Castilleja",1.05,0.9,0.15,0.87,1.02,"C. septentrionalis"
2024,"7/27/24","Emerald Lake",99,198,"Control",1.065,0.835,0.23,0.835,1.065,"C. septentrionalis"
2024,"7/27/24","Emerald Lake",100,199,"Castilleja",1.06,0.88,0.18,0.8,0.98,"C. septentrionalis"
2024,"7/27/24","Emerald Lake",100,200,"Control",1,0.55,0.45,0.55,1,"C. septentrionalis"
2023,"7/7/23","Deer Creek 1",1,1,"Castilleja",1.03,0.88,0.15,0.83,0.98,"C. linariifolia"
2023,"7/7/23","Deer Creek 1",1,2,"Control",1.25,0.85,0.4,0.85,1.25,"C. linariifolia"
2023,"7/7/23","Deer Creek 1",2,3,"Castilleja",1.385,1.185,0.2,1.035,1.235,"C. linariifolia"
2023,"7/7/23","Deer Creek 1",2,4,"Control",1.225,0.475,0.75,0.475,1.225,"C. linariifolia"
2023,"7/11/23","Deer Creek 1",3,5,"Castilleja",1.175,0.875,0.3,0.775,1.075,"C. linariifolia"
2023,"7/11/23","Deer Creek 1",3,6,"Control",1.02,0.82,0.2,0.47,0.67,"C. linariifolia"
2023,"7/11/23","Deer Creek 1",4,7,"Castilleja",1.04,0.84,0.2,0.39,0.59,"C. linariifolia"
2023,"7/11/23","Deer Creek 1",4,8,"Control",1.1,0.35,0.75,0.35,1.1,"C. linariifolia"
2023,"7/11/23","Deer Creek 1",5,9,"Castilleja",1.06,0.91,0.15,0.76,0.91,"C. linariifolia"
2023,"7/11/23","Deer Creek 1",5,10,"Control",1.105,0.355,0.75,0.355,1.105,"C. linariifolia"
2023,"7/11/23","Deer Creek 1",6,11,"Castilleja",1.105,0.655,0.45,0.455,0.905,"C. linariifolia"
2023,"7/11/23","Deer Creek 1",6,12,"Control",1.08,0.68,0.4,0.68,1.08,"C. linariifolia"
2023,"7/11/23","Deer Creek 1",7,13,"Castilleja",1.085,1.005,0.08,0.755,0.835,"C. linariifolia"
2023,"7/11/23","Deer Creek 1",7,14,"Control",1.21,0.51,0.7,0.51,1.21,"C. linariifolia"
2023,"7/11/23","Deer Creek 1",8,15,"Castilleja",1.17,0.67,0.5,0.17,0.67,"C. linariifolia"
2023,"7/11/23","Deer Creek 1",8,16,"Control",1.17,0.47,0.7,0.47,1.17,"C. linariifolia"
2023,"7/11/23","Deer Creek 1",9,17,"Castilleja",1.02,0.99,0.03,0.91,0.94,"C. linariifolia"
2023,"7/11/23","Deer Creek 1",9,18,"Control",1.29,0.89,0.4,0.89,1.29,"C. linariifolia"
